date	code	name	category	ipo_price	buy_ratio	one_hand	draw_prob	firstday_performance	now_price	total_performance
	2015/12/29	01558	東陽光藥	藥品	15.000	0.7	1	100.0%	-3.07%	19.860	+32.40%
	2015/12/29	01568	承達集團	建築及裝修	1.380	0.1	1	100.0%	+8.70%	4.800	+247.83%
	2015/12/23	06196	鄭州銀行	銀行	3.850	0.2	1	100.0%	+4.42%	4.470	+16.10%
	2015/12/23	01543	中盈盛達融資擔保	其他金融	1.360	0.3	1	100.0%	+1.47%	1.360	0.00%
	2015/12/21	01197	中國恆石	工業用品	2.150	認購不足	1	100.0%	+1.40%	2.760	+28.37%
	2015/12/18	01662	義合控股	建築及裝修	1.000	14.1	1	100.0%	+11.00%	1.190	+19.00%
	2015/12/16	01786	鐵建裝備	機械裝備及器材	5.250	0.9	1	100.0%	-10.10%	2.840	-45.90%
	2015/12/15	03600	現代牙科	醫療器械及服務	4.200	1.9	1	100.0%	-3.81%	3.050	-27.38%
	2015/12/14	02289	創美藥業	藥品	8.600	21.9	1	100.0%	-6.98%	7.870	-8.49%
	2015/12/11	01979	天寶集團	電子消費品	0.550	7.2	1	100.0%	+121.82%	2.250	+309.09%
	2015/12/10	01447	新福港	建築及裝修	1.350	33.2	1	100.0%	-2.22%	3.270	+142.22%
	2015/12/10	03996	中國能源建設	電氣設備	1.590	認購不足	1	100.0%	-0.63%	1.460	-8.18%
	2015/12/10	00331	豐盛機電	建築及裝修	2.750	7.4	1	100.0%	-25.09%	2.380	-13.45%
	2015/12/10	01341	昊天國際建投	機械裝備及器材	0.480	71.8	1	100.0%	+10.42%	0.570	+18.75%
	2015/12/09	08196	建禹集團	基建	0.960	N/A	N/A	N/A	+105.21%	3.600	+275.00%
	2015/12/07	00416	錦州銀行	銀行	4.660	認購不足	1	100.0%	+9.44%	8.620	+84.98%
	2015/12/03	03866	青島銀行	銀行	4.750	認購不足	1	100.0%	+0.42%	5.600	+17.89%
	2015/12/02	01492	中地乳業	乳製品	1.200	1.1	1	100.0%	-4.17%	0.840	-30.00%
