date	code	name	category	ipo_price	buy_ratio	one_hand	draw_prob	firstday_performance	now_price	total_performance
	2017/11/16	01975	新兴印刷	印刷及包装	1.380	44.1	50	20.0%	+0.73%	0.460	-66.67%
	2017/11/16	02858	易鑫集团	其他金融	7.700	560.2	30	10.0%	+5.46%	1.830	-76.23%
	2017/11/15	08376	方圆房服集团	物业管理及代理	0.790	22.3	4	60.0%	+6.33%	0.400	-49.37%
	2017/11/15	08400	亚洲先锋娱乐	博彩	0.280	12.9	45	37.8%	+10.71%	0.090	-67.86%
	2017/11/15	01706	双运控股	建筑及装修	0.560	15.2	6	70.1%	+50.00%	0.175	-68.75%
	2017/11/15	06083	环宇物流（亚洲）	仓储物流	N/A	N/A	N/A	N/A	+0.57%	0.740	N/A
	2017/11/13	08375	弘浩国际控股	电子元器件	0.300	8.9	20	30.0%	+93.33%	0.193	-35.67%
	2017/11/13	01337	雷蛇	资讯科技器材	3.880	290.2	25	50.0%	+18.04%	1.680	-56.70%
	2017/11/10	08426	雅居投资控股	物业管理及代理	0.300	9.5	30	25.1%	+5.00%	0.138	-54.00%
	2017/11/10	03919	金力集团	工业用品	N/A	N/A	N/A	N/A	-7.39%	0.510	N/A
	2017/11/10	02122	凯知乐国际	玩具	1.550	11.3	25	5.1%	-3.87%	0.320	-79.35%
	2017/11/09	01720	普天通信集团	电讯及网络器材	0.660	9.9	15	7.5%	+121.21%	2.170	+228.79%
	2017/11/08	00772	阅文集团	电子商贸及互联网服务	55.000	625.0	100	7.7%	+86.18%	37.300	-32.18%
	2017/11/03	02232	晶苑国际	服装	7.500	9.4	1	100.0%	+5.20%	3.520	-53.07%
	2017/10/27	08436	德宝集团控股	美容及个人护理	0.690	430.5	400	60.0%	-10.15%	0.560	-18.84%
	2017/10/26	01546	德莱建业	建筑及装修	N/A	N/A	N/A	N/A	-5.33%	0.480	N/A
	2017/10/25	08470	莹岚集团	建筑及装修	0.460	44.6	15	60.0%	0.00%	0.350	-23.91%
	2017/10/24	02663	应力控股	建筑及装修	N/A	N/A	N/A	N/A	-10.00%	0.250	N/A
	2017/10/20	06080	荣智控股	建筑及装修	0.520	307.5	180	50.0%	0.00%	0.580	+11.54%
	2017/10/19	08476	大洋环球控股	包装食品	1.220	24.5	1	100.0%	+0.82%	0.780	-36.07%
	2017/10/18	08457	健升物流中国	仓储物流	0.300	247.0	15	50.0%	+26.67%	0.242	-19.33%
	2017/10/18	08430	春能控股	仓储物流	0.440	20.0	1	100.0%	+2.27%	0.074	-83.18%
	2017/10/17	02225	KAKIKO GROUP	其他支援服务	0.520	169.4	2	75.0%	+5.77%	1.830	+251.92%
	2017/10/16	08392	舍图控股	家具及家居用品	0.220	82.3	1	100.0%	+11.36%	0.159	-27.73%
	2017/10/16	08480	飞霓控股	纺织及制衣	0.500	161.6	1	100.0%	+28.00%	2.570	+414.00%
	2017/10/16	08275	永勤集团控股	建筑及装修	0.340	81.8	7	50.0%	+5.88%	0.060	-82.35%
	2017/10/16	02337	众诚能源	石油及天然气	2.680	58.6	1	100.0%	+13.43%	5.060	+88.81%
	2017/10/16	08065	高萌科技	建筑及装修	0.600	1068.0	400	10.0%	+45.00%	0.260	-56.67%
	2017/10/13	08437	德斯控股	医疗器械及服务	0.480	43.6	20	50.0%	+41.67%	0.200	-58.33%
	2017/10/12	01707	致浩达控股	建筑及装修	0.420	189.8	25	40.0%	-3.57%	0.400	-4.76%
	2017/10/10	06885	金马能源	煤炭	3.000	42.6	1	100.0%	+5.67%	3.730	+24.33%
	2017/09/29	08445	怡康泰工程集团	建筑及装修	0.470	33.0	20	65.1%	+17.00%	0.198	-57.87%
	2017/09/28	06060	众安在线	保险	59.700	391.7	1	100.0%	+9.20%	19.080	-68.04%






















































































































































































































































































































































































































































































































































































































































































































































































































